time,open,high,low,close,Volume,Volume MA,Total revenue,COGS,Deprecation and amortization,Gross profit,Operating expenses (excl. COGS),Operating income,"Non-operating income, total",Interest expense on debt,Pretax income,Equity in earnings,Taxes,Net income,Basic EPS,Diluted EPS,EBITDA,EBIT,Average basic shares outstanding,Total assets,Total current assets,Cash and short term investments,Cash & equivalents,"Total receivables, net","Accounts receivable - trade, net",Total inventory,Inventories - work in progress,Inventories - progress payments & other,Inventories - finished goods,Inventories - raw materials,Total non-current assets,Long term investments,Net property/plant/equipment,Gross property/plant/equipment,Property/plant/equipment - Buildings,Property/plant/equipment - Buildings,Property/plant/equipment - Construction in progress,Property/plant/equipment - Machinery & equipment,Property/plant/equipment - Land & improvement,Property/plant/equipment - Leased property,Property/plant/equipment - Computer software and equipment,Property/plant/equipment - Leases,Property/plant/equipment - Transportation equipment,Property/plant/equipment - Other,"Accumulated depreciation, total","Goodwill, net","Goodwill, gross",Accumulated goodwill amortization,Total liabilities,Total current liabilities,Short term debt,Long term debt,Total non-current liabilities,Total equity,Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,Shareholders&#039; equity,"Common equity, total",Retained earnings,Minority interest,Total liabilities & shareholders&#039; equities,Net debt,Total debt,Tangible book value per share,Book value per share,Cash from operating activities,Changes in working capital,Change in accounts receivable,Change in inventories,Change in other assets/liabilities,Cash from investing activities,Capital expenditures,Capital expenditures - fixed assets,Capital expenditures - other assets,"Other investing cash flow items, total",Cash from financing activities,Issuance of long term debt,Reduction of long term debt,Reduction of long term debt,Reduction of long term debt,Free cash flow
2002-01-02T07:00:00Z,4500,4650,4500,4505,2599727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-01-02T07:00:00Z,4600,5880,3531.0002,5800,821243365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-02T07:00:00Z,5800,7507.5,5040,6642,912774553,NaN,13935469751525.559,-9876057122809.635,-1152612585294.6135,4059412628715.911,-1500892772673.1082,2558519853886.9385,-34097360826.002346,-289827570311.79956,2524422492673.784,135780563402.37663,-529726861704.33765,2072023575149.2737,333.04175432,331.83006395,3711132441761.9844,2558519857800.2,6218000000,19369228245420.258,4133642667982.501,1233135061007.7043,418706816684.7318,1725767858679.7998,1251150636206.3054,1065403843641.417,232960024119.84338,NaN,553513017308.7479,278930802212.8258,15235585577437.758,1391547877409.1978,13011593880506.986,23546978011302.78,1630720168838.9036,1630720168838.9036,1448079509928.9465,15379710179026.566,NaN,NaN,NaN,82001928490.18488,NaN,5006466225018.181,-10535384130795.797,262157680476.19708,510027146139.71045,247869465663.51337,9786805919957.367,3122906776667.8735,704471112938.4064,3387549364068.0156,5857987026227.197,9582422325462.89,6663899143289.493,6663899143289.493,6663899143289.493,9366856649810.662,9366856649810.662,6788765716217.7295,215565675652.2284,19369228245420.258,2858885415998.718,4092020477006.4224,1461.98350048,1504.07991662,3233160500747.1763,-306876250918.3761,-340973612131.52905,-216761796283.61475,104727609440.39816,-1615362487473.12,-1852826253064.7205,-1852826253064.7205,0,0,-1519159218336.0076,228330543838.07755,-813465617513.7899,-813465617513.7899,-813465617513.7899,1380334245565.0833
2005-01-03T07:00:00Z,6625,10438,6380,10390,794218542,NaN,18079319189633.094,-12418453099532.838,-1330814341965.7314,5660866090100.259,-907957725682.1898,4752908364163.333,86601036002.85536,-215826016821.0825,4839509399126.023,1209031636549.4475,-1564231194013.61,4327345465791.983,706.32612184,702.96872003,6083722709551.341,4752908365883.178,6124000000,27924468553325.05,4695565823224.794,861565588087.4374,541231364786.14386,2118877414545.0144,1475539516081.5833,1616353101741.1104,487842327569.2616,0,770804224818.7375,357706549353.1111,23228902730100.254,2828951609529.5483,18173628268626.72,29499445151223.08,1707781827975.021,1707781827975.021,2231661755665.678,17468892977363.875,NaN,NaN,NaN,48050133495.19403,NaN,8091108590218.506,-11325816882596.36,381731616100.7081,381731616100.7081,0,15967993668604.271,4971186727856.949,866237128843.9146,5773357012040.6045,9071070116325.932,11956474884720.781,10996806940747.322,10996806940747.322,10996806940747.322,11728904113583.82,11728904113583.82,9382455927901.846,227570771136.9606,27924468553325.05,5778028552797.082,6639594140884.52,1863.6526328,1937.16997088,5665602084199.794,790234444034.5586,-385645233818.2349,-215826016821.0825,525018774461.31433,-6201445988031.482,-2693427501456.829,-2334168520478.7896,-359258980978.03973,0,335579010480.4291,3834802079441.6733,-1188734518980.0686,-1188734518980.0686,-1188734518980.0686,3331433562096.6377
2006-01-03T07:00:00Z,10425,14989,9757,12894,979473173,NaN,22796869438995.76,-14920452849632.273,-1761895330323.903,7876416589363.489,-1152853847878.8953,6723562743445.289,701213073013.822,-382157578689.97345,7424775814548.061,2619091086606.234,-2575132329873.81,7409177546030.066,1227.9841455,1222.31473302,8485458072260.196,6723562739728.751,6035000000,34600285139872.785,6258803330602.783,1129665505432.4045,364431233128.76154,2732164489464.3594,1984759533849.9875,1948387727803.8674,539871709351.2197,0,915000532493.5442,493515485959.10565,28341481809270.004,4291159940774.4795,21702557446851.96,34523262491775.164,1889194396395.4778,1889194396395.4778,4754722174695.605,19774138553740.062,NaN,NaN,NaN,NaN,NaN,8105207366943.962,-12820705044923.207,407934765850.5907,407934765850.5907,0,17159647554424.945,6319423007346.291,975620209237.0775,5454344561582.711,8842370139147.275,17440637585447.89,10840224547078.656,10840224547078.656,10840224547078.656,17271615663233.57,17271615663233.57,15039385213736.44,169021922214.3178,34600285139872.785,5300299265387.369,6429964770819.779,2823.42365499,2905.36195384,7427611863369.486,-485673360672.78613,-359469188118.3978,-288567967582.2245,-123368123732.9412,-3908075275953.8594,-4257618293197.1987,-3714514943890.11,-543103349307.08826,0,-3837174055417.688,4191680158098.557,-4975138645023.27,-4975138645023.27,-4975138645023.27,3713096920291.5703
2007-01-02T07:00:00Z,12989,26155,12132,20760,1056197580,NaN,36185020613163.98,-19438977538759.273,-2099162613878.489,16746043074404.7,-1750064401403.4177,14933476372951.092,-352147104542.8157,-519073979684.5503,14643831567840.797,0,-4356867647396.3135,10225986066737.03,1749.28417141,1745.51493607,17095141287649.848,14995978671674.486,5846000000,43302074992006.695,9700725418377.395,2473840125593.765,596598844427.6864,4399740177759.261,3403998371220.3813,2640267226403.3813,747511554483.8617,0,1229162867420.161,663592804499.353,33601349573629.297,1086712552320.4098,29320082925259.95,45538968058820.68,3071849369180.854,3071849369180.854,6849603517643.154,26564162967785.496,NaN,NaN,NaN,NaN,NaN,9056173002529.96,-16221705931879.53,391385766734.47546,423119747821.0543,31733981086.57908,22203913966489.52,7973691647687.778,1156527310710.8818,7602051469184.92,13983047037085.285,21098161025517.168,14230222318801.746,14230222318801.746,14230222318801.746,20921155931012.027,20921155931012.027,19554479145550,177005094505.14087,43302074992006.695,6721257194137.452,8758578779895.818,3607.33774828,3696.17200112,12162795145119.498,-714203111548.3455,-977170105661.6644,-557947361423.0408,468767250375.9153,-6336361223373.952,-6061198658519.168,-5433888988503.905,-627309670015.2506,0,-5037532939405.573,5636640352081.131,-4406412153533.608,-4406412153533.608,-4406412153533.608,6728906154564.813
2008-01-02T07:00:00Z,20800,32350,11980,17762,1031015303,NaN,49945434697044.875,-27364888093810.777,-3282778811069.6997,22580546603234.1,-2299372828014.5454,20281173775219.582,-560146700800.367,-618932715210.6346,19721027070951.574,0,-6316136975711.24,12924524405823.146,2311.97298018,2310.3202831,23563952587730.82,20281173776999.234,5590000000,59406852532126.164,16878218812280.691,4924672999770.788,3316776267688.58,7672344630544.158,6263282255788.606,3891360591616.6914,1269721762140.8696,0,1487343617797.568,1134295211678.254,42528633719845.47,1697137349150.0627,36237953028992.125,54154181124009.48,4003302769166.7188,4003302769166.7188,5247191721103.734,34673110980583.01,NaN,NaN,NaN,NaN,NaN,10230575653156.002,-17916228095017.348,346003094245.53925,NaN,NaN,28843506811246.918,12806028549237.041,2709313821682.836,7228489982496.179,15771030801446.941,30563345720879.17,16037478262009.875,16037478262009.875,16037478262009.875,30009114520141.977,30009114520141.977,27990241262089.426,554231200737.1993,59406852532126.164,5013130804408.227,9937803804179,5304.63062251,5392.54776541,15249931038683.707,-2300212628170.8687,-4020123348321.9893,-1102657605253.1382,1427660265750.4424,-7611948616918.871,-7494376595033.518,-6347209581495.22,-1147167013538.2988,0,-6164972947572.954,7959625881636.877,-8589475998879.77,-8589475998879.77,-8589475998879.77,8902721453877.021
2009-01-02T07:00:00Z,18001,24190,15101,23700,946937459,NaN,42621987360059.805,-26437668963555.04,-3546526920203.3345,16184318396504.766,-2806323119323.458,13377995275826.822,-3516816905602.485,-500825965275.2436,9861178370512.725,0,-4481119102861.036,4988735928682.384,896.41010405,894.72441852,16924522192120.812,13377995274154.559,5565000000,60830372262912.23,17364881943682.146,8955046296314.979,8365817223868.547,4306855225469.8643,2861197527410.0503,3723031924330.323,1444113191972.1416,0,1195447711857.156,1083471020501.0258,43465490319230.08,1780043266040.5266,37013316137985.52,58962292149874.42,4408020374212.302,4408020374212.302,6408155757745.934,36707503932626.72,NaN,NaN,NaN,NaN,NaN,11438612085289.498,-21948976011888.9,307356711446.47754,NaN,NaN,29391178595330.38,9151198569449.15,844844829955.8973,11834777896777.088,16880723659331.305,31439193667581.844,20239980025881.227,20239980025881.227,20239980025881.227,30854598113398.445,30854598113398.445,28442851857500.59,584595554183.376,60830372262912.23,3724576430418.008,12679622726732.977,5453.22097092,5544.9564082,16012000310147.297,2262205419421.229,4154308939079.7314,-98467477918.52277,-1074653681421.1157,-9380724986875.775,-9232174912429.77,-8057356037953.572,-1174818874476.1655,-106956053601.15378,-1054281099782.7979,6516679551556.035,-3181518165850.192,-3181518165850.192,-3181518165850.192,7954644269877.842
2010-01-04T07:00:00Z,23750,27484,19336,26545,883985799,NaN,38838666158456.19,-23109881738589.727,-3756753438979.425,15728784419866.459,-1992028258022.9294,13736756162032.889,660576580270.1409,-366333113885.2073,14397332740886.092,0,-4827799651463.085,9358413403308.44,1681.60426211,1675.71207514,17493509606227.617,13736756164398.44,5565000000,68112300477734.78,19267259715114.887,9772381111175.455,9548539309758.514,5160626736777.001,3790745575365.7603,4088945783417.7847,1645850505623.9177,0,1279424543030.4275,1163670734763.4395,48845040762619.89,2216187150330.116,41602378640060.586,63761950398826.64,4712943133943.109,4712943133943.109,8216987223932.389,38758361231646.66,NaN,NaN,NaN,NaN,NaN,12073658809304.516,-22159571758765.992,283635159329.693,283635159329.693,0,30297601086993.062,9997756075615.803,1679580092138.8032,10404810858329.541,15365082016401.537,37814699390741.65,20299845011377.26,20299845011377.26,20299845011377.26,37198367855333.37,37198367855333.37,34343618305755.61,616331535408.3055,68112300477734.78,2312009839292.889,12084390950468.346,6590.43215744,6685.07461568,13182107230568.148,-1555812321018.5,-1260097638725.6213,-420032546241.8746,-291301030318.3576,-7856300514646.612,-7901172643054.259,-6858079559742.545,-1043093083311.6953,-114754951337.535,-4150304073374.1753,492857803821.4637,-849628005095.2081,-849628005095.2081,-849628005095.2081,6324027673302.588
2011-01-03T07:00:00Z,26900,29851,20800,23430,885034873,NaN,52812054778687.78,-25721757955468.48,-4006969907029.6167,27090296823219.297,-3344417466099.299,24043291780927.27,-1034317973564.4321,-407101664263.7111,23008973809335.04,0,-5380661960404.092,17408933375240.969,3158.86815137,3142.6837149,27752849265509.777,23745879360361.69,5511000000,69769443330116.1,17137305940393.848,7014906719588.427,6835941182869.13,5741810969744.295,4113495745502.7627,4171795124888.595,1572049544136.602,0,1268350451522.0295,1331395129229.9639,52632137389722.25,2504839614309.936,45081689859496.51,67679478369110.016,5356086006133.379,5356086006133.379,8487982898721.158,40444177599281.55,NaN,NaN,NaN,NaN,NaN,13391231864973.924,-22597788509613.508,625023578996.9592,625023578996.9592,0,30617342673967.066,13380385468809.055,2385529256497.072,8397822230601.232,29555923100226.375,39152100656149.03,17236957205158.008,17236957205158.008,17236957205158.008,38478946194170.71,38478946194170.71,36017492164519.984,673154461978.2869,69769443330116.1,3768444767509.8774,10783351487098.305,7043.94947722,7229.39182019,22143974793946.457,339374081782.2252,-1442891974605.5579,-583046144840.613,318761339287.86066,-12120292586686.645,-9274261783714.678,-9118930045632.14,-155331738082.53735,0,-11791961045526.422,1174926322178.8118,-1599696051437.695,-1599696051437.695,-1599696051437.695,13025044750402.545
